Location,Name,Score
Davidson,Wildcats,110
Charleston Southern,Buccaneers,62
-,-,-
Dayton,Flyers,78
Ball State,Cardinals,77
-,-,-
Fordham,Rams,54
Miami (OH),RedHawks,55
-,-,-
George Mason,Patriots,67
Lafayette,Leopards,65
-,-,-
VCU,Rams,94
Grambling,Tigers,65
-,-,-
Richmond,Spiders,63
Delaware,Blue Hens,76
-,-,-
Massachusetts,Minutemen,74
UMass Lowell,River Hawks,69
-,-,-
George Washington,Colonials,84
Howard,Bison,75
-,-,-
Rhode Island,Rams,84
UNC Asheville,Bulldogs,60
-,-,-
St. Bonaventure,Bonnies,75
Niagara,Purple Eagles,77
-,-,-
Saint Louis,Billikens,62
Seattle,Redhawks,46
-,-,-
