Location,Name,Score
Miami,Hurricanes,77
Gardner-Webb,Bulldogs,45
-,-,-
Penn State,Nittany Lions,86
Campbell,Fighting Camels,75
-,-,-
Tennessee,Volunteers,88
Presbyterian,Blue Hose,53
-,-,-
Winthrop,Eagles,66
Southern Illinois,Salukis,81
-,-,-
Davidson,Wildcats,110
Charleston Southern,Buccaneers,62
-,-,-
Liberty,Flames,87
Summit,Defenders,42
-,-,-
Radford,Highlanders,72
Georgia Southwestern,Hurricanes,63
-,-,-
Rhode Island,Rams,84
UNC Asheville,Bulldogs,60
-,-,-
High Point,Panthers,100
William & Mary,Tribe,66
-,-,-
