Location,Name,Score
Kentucky,Wildcats,73
Utah Valley,Wolverines,63
-,-,-
West Virginia,Mountaineers,65
Texas A&M,Aggies,88
-,-,-
Mississippi State,Bulldogs,96
Alabama State,Hornets,68
-,-,-
Alabama,Crimson Tide,82
Memphis,Tigers,70
-,-,-
Tennessee,Volunteers,88
Presbyterian,Blue Hose,53
-,-,-
Wofford,Terriers,52
South Carolina,Gamecocks,73
-,-,-
Georgia,Bulldogs,79
Bryant,Bulldogs,54
-,-,-
Ole Miss,Rebels,94
Louisiana,Ragin' Cajuns,76
-,-,-
LSU,Tigers,99
Alcorn State,Braves,59
-,-,-
Arkansas,Razorbacks,95
Samford,Bulldogs,56
-,-,-
Auburn,Tigers,102
Norfolk State,Spartans,74
-,-,-
Missouri,Tigers,74
Iowa State,Cyclones,59
-,-,-
Vanderbilt,Commodores,73
Austin Peay,Governors,54
-,-,-
