Location,Name,Score
Michigan State,Spartans,55
North Carolina,Tar Heels,36
-,-,-
Montana,Grizzlies,56
Carroll College Montana,Fighting Saints,48
-,-,-
West Virginia,Mountaineers,21
Missouri,Tigers,18
-,-,-
CS Fullerton,Titans,32
Harvard,Crimson,30
-,-,-
Stanford,Cardinal,37
Portland St,Vikings,26
-,-,-
Kentucky,Wildcats,107
UIC,Flames,73
-,-,-
Georgia,Bulldogs,83
Saint Mary's,Gaels,81
-,-,-
UCLA,Bruins,87
UC Irvine,Anteaters,63
-,-,-
Georgia State,Panthers,70
Tulane,Green Wave,59
-,-,-
Denver,Pioneers,71
Navy,Midshipmen,79
-,-,-
Southern Miss,Golden Eagles,63
Northern Colorado,Bears,77
-,-,-
UCF,Knights,43
St. John's,Red Storm,46
-,-,-
Bowling Green,Falcons,83
Abilene Christian,Wildcats,88
-,-,-
Gardner-Webb,Bulldogs,99
Jacksonville,Dolphins,106
-,-,-
Mercer,Bears,90
Hiwassee College,Tigers,53
-,-,-
Fordham,Rams,70
Manhattan,Jaspers,57
-,-,-
Binghamton,Bearcats,97
Hartwick,Hawks,65
-,-,-
Fairleigh Dickinson,Knights,76
Princeton,Tigers,83
-,-,-
Hartford,Hawks,50
Wagner,Seahawks,72
-,-,-
Quinnipiac,Bobcats,72
Maine,Black Bears,78
-,-,-
Lafayette,Leopards,82
Saint Peter's,Peacocks,86
-,-,-
Stony Brook,Seawolves,76
Bucknell,Bison,85
-,-,-
UMass Lowell,River Hawks,83
Loyola (MD),Greyhounds,75
-,-,-
Sacramento State,Hornets,69
Saint Joseph's,Hawks,74
-,-,-
Nebraska,Cornhuskers,85
Long Beach State,49ers,80
-,-,-
Mississippi State,Bulldogs,59
Jacksonville St,Gamecocks,56
-,-,-
Samford,Bulldogs,83
Mississippi Valley State,Delta Devils,70
-,-,-
Oklahoma State,Cowboys,101
Houston Baptist,Huskies,74
-,-,-
Stephen F. Austin,Lumberjacks,79
Florida A&M,Rattlers,63
-,-,-
South Dakota,Coyotes,81
Youngstown State,Penguins,53
-,-,-
South Dakota State,Jackrabbits,92
Dakota State,Trojans,60
-,-,-
Drake,Bulldogs,79
Chicago State,Cougars,67
-,-,-
Austin Peay,Governors,86
Miami (OH),RedHawks,61
-,-,-
Southeast Missouri State,Redhawks,70
North Carolina Central,Eagles,77
-,-,-
Fresno State,Bulldogs,80
Montana State,Bobcats,67
-,-,-
Longwood,Lancers,107
NC Wesleyan,Battling Bishops,78
-,-,-
Wright State,Raiders,57
Fairfield,Stags,56
-,-,-
Ohio State,Buckeyes,66
Butler,Bulldogs,67
-,-,-
Michigan,Wolverines,87
UC Riverside,Highlanders,42
-,-,-
East Carolina,Pirates,81
North Carolina A&T,Aggies,87
-,-,-
South Florida,Bulls,47
Eastern Michigan,Eagles,65
-,-,-
Colorado,Buffaloes,81
Air Force,Falcons,69
-,-,-
UL Monroe,Warhawks,104
Rust College,Bearcats,46
-,-,-
Little Rock,Trojans,70
Norfolk State,Spartans,55
-,-,-
Campbell,Fighting Camels,93
South Carolina Upstate,Spartans,74
-,-,-
Boston University,Terriers,83
Wheaton (MA),Lyons,48
-,-,-
UAB,Blazers,90
Mississippi College,Choctaws,53
-,-,-
Marshall,Thundering Herd,106
Concord College,Mountain Lions,70
-,-,-
South Alabama,Jaguars,55
New Orleans,Privateers,52
-,-,-
UNC Asheville,Bulldogs,85
Wofford,Terriers,65
-,-,-
Northern Illinois,Huskies,105
Rockford University,Regents,53
-,-,-
La Salle,Explorers,87
Temple,Owls,83
-,-,-
Tenn-Martin,Skyhawks,55
UMKC,Kangaroos,65
-,-,-
Pacific,Tigers,80
Canisius,Golden Griffins,58
-,-,-
Bryant,Bulldogs,67
Brown,Bears,81
-,-,-
Florida Gulf Coast,Eagles,75
St. Francis (BKN),Terriers,51
-,-,-
Wyoming,Cowboys,83
New Mexico Highlands,Cowboys,70
-,-,-
Winthrop,Eagles,86
South Carolina State,Bulldogs,61
-,-,-
Marist,Red Foxes,46
Oregon State,Beavers,65
-,-,-
DePaul,Blue Demons,82
Portland,Pilots,69
-,-,-
Washington,Huskies,77
UC Davis,Aggies,70
-,-,-
Gonzaga,Bulldogs,76
Texas,Longhorns,71
-,-,-
Oregon,Ducks,80
Oklahoma,Sooners,48
-,-,-
Connecticut,Huskies,67
Arkansas,Razorbacks,102
-,-,-
USC,Trojans,7
Texas A&M,Aggies,7
-,-,-
Florida,Gators,0
Duke,Blue Devils,0
-,-,-
San Diego State,Aztecs,0
Washington State,Cougars,0
-,-,-
