Location,Name,Score
Duke,Blue Devils,97
Elon,Phoenix,68
-,-,-
North Carolina,Tar Heels,86
Northern Iowa,Panthers,69
-,-,-
Miami,Hurricanes,77
Gardner-Webb,Bulldogs,45
-,-,-
UCLA,Bruins,63
Georgia Tech,Yellow Jackets,60
-,-,-
Virginia Tech,Hokies,111
Detroit Mercy,Titans,79
-,-,-
Syracuse,Orange,77
Cornell,Big Red,45
-,-,-
NC State,Wolfpack,102
VMI,Keydets,67
-,-,-
Clemson,Tigers,85
Western Carolina,Catamounts,57
-,-,-
Virginia,Cavaliers,60
UNC Greensboro,Spartans,48
-,-,-
Boston College,Eagles,85
Maine,Black Bears,65
-,-,-
Wake Forest,Demon Deacons,83
Georgia Southern,Eagles,85
-,-,-
Navy,Midshipmen,71
Pittsburgh,Panthers,62
-,-,-
