Location,Name,Score
Wichita State,Shockers,109
UMKC,Kangaroos,57
-,-,-
Cincinnati,Bearcats,107
Savannah State,Tigers,77
-,-,-
Tulsa,Golden Hurricane,67
Lamar,Cardinals,74
-,-,-
Alabama,Crimson Tide,82
Memphis,Tigers,70
-,-,-
Connecticut,Huskies,70
Colgate,Raiders,58
-,-,-
UCF,Knights,88
Mercer,Bears,79
-,-,-
Houston,Cougars,81
McNeese,Cowboys,53
-,-,-
South Florida,Bulls,60
Florida Atlantic,Owls,59
-,-,-
SMU,Mustangs,78
UMBC,Retrievers,67
-,-,-
Tulane,Green Wave,102
LIU Brooklyn,Blackbirds,96
-,-,-
