Location,Name,Score
Arizona,Wildcats,101
Northern Arizona,Lumberjacks,67
Eastern Washington,Eagles,82
Walla Walla University,Wolves,61
Colorado,Buffaloes,66
Northern Colorado,Bears,51
Montana State,Bobcats,89
Omaha,Mavericks,80
Weber State,Wildcats,65
Utah State,Aggies,59
Montana,Grizzlies,72
Whitworth,Pirates,60
North Dakota,Fighting Hawks,83
Troy,Trojans,80
Colorado State,Rams,72
Sacramento State,Hornets,61
Oregon State,Beavers,99
Southern Utah,Thunderbirds,82
Arizona State,Sun Devils,94
Idaho State,Bengals,74
Nevada,Wolf Pack,88
Idaho,Vandals,64
