Location,Name,Score
Michigan State,Spartans,98
North Florida,Ospreys,66
Minnesota,Golden Gophers,92
South Carolina Upstate,Spartans,77
Northwestern,Wildcats,79
Loyola (MD),Greyhounds,75
Purdue,Boilermakers,105
SIU-Edwardsville,Cougars,74
Penn State,Nittany Lions,86
Campbell,Fighting Camels,75
Indiana,Hoosiers,69
Indiana State,Sycamores,90
Ohio State,Buckeyes,95
Robert Morris,Colonials,64
Rutgers,Scarlet Knights,94
CCNY,Beavers,38
Wisconsin,Badgers,85
South Carolina State,Bulldogs,50
Stony Brook,Seawolves,61
Maryland,Terrapins,76
Illinois,Fighting Illini,102
Southern,Jaguars,55
Iowa,Hawkeyes,95
Chicago State,Cougars,62
