Location,Name,Score
Middle Tennessee,Blue Raiders,104
Trevecca Nazarene,Trojans,52
North Texas,Mean Green,122
Eureka,Red Devils,65
Old Dominion,Monarchs,57
Towson,Tigers,54
Florida Intl,Golden Panthers,70
Florida Memorial,Lions,47
Louisiana Tech,Bulldogs,112
Texas-Tyler,Patriots,71
Charlotte,49ers,116
Methodist,Monarchs,76
South Florida,Bulls,60
Florida Atlantic,Owls,59
Western Kentucky,Hilltoppers,80
Missouri State,Bears,85
Rice,Owls,72
Eastern Kentucky,Colonels,73
Marshall,Thundering Herd,102
Tenn-Martin,Skyhawks,91
UAB,Blazers,96
Jacksonville,Dolphins,67
Southern Miss,Golden Eagles,79
Southern-New Orleans,Knights,69
UTEP,Miners,100
Louisiana College,Wildcats,50
