Location,Name,Score
Cincinnati,Bearcats,107
Savannah State,Tigers,77
-,-,-
Wisconsin,Badgers,85
South Carolina State,Bulldogs,50
-,-,-
Binghamton,Bearcats,76
Morgan State,Bears,59
-,-,-
George Washington,Colonials,84
Howard,Bison,75
-,-,-
Delaware State,Hornets,71
Cairn University,Highlanders,50
-,-,-
Auburn,Tigers,102
Norfolk State,Spartans,74
-,-,-
Rider,Broncs,90
Hampton,Pirates,75
-,-,-
UIC,Flames,65
North Carolina Central,Eagles,55
-,-,-
Bethune-Cookman,Wildcats,108
Johnson Univ (FL),Suns,66
-,-,-
North Carolina A&T,Aggies,104
Greensboro,Pride,80
-,-,-
Maryland-Eastern Shore,Hawks,95
Valley Forge,Patriots,69
-,-,-
Grand Canyon,Antelopes,67
Florida A&M,Rattlers,51
-,-,-
Oregon,Ducks,70
Coppin State,Eagles,54
-,-,-
