Location,Name,Score
Duke,Blue Devils,97
Elon,Phoenix,68
Michigan State,Spartans,98
North Florida,Ospreys,66
Arizona,Wildcats,101
Northern Arizona,Lumberjacks,67
Kansas,Jayhawks,92
Tennessee St,Tigers,56
Kentucky,Wildcats,73
Utah Valley,Wolverines,63
Villanova,Wildcats,75
Columbia,Lions,60
Wichita State,Shockers,109
UMKC,Kangaroos,57
North Carolina,Tar Heels,86
Northern Iowa,Panthers,69
USC,Trojans,84
CS Fullerton,Titans,42
West Virginia,Mountaineers,65
Texas A&M,Aggies,88
Cincinnati,Bearcats,107
Savannah State,Tigers,77
Miami,Hurricanes,77
Gardner-Webb,Bulldogs,45
Minnesota,Golden Gophers,92
South Carolina Upstate,Spartans,77
Xavier,Musketeers,101
Morehead St,Eagles,49
Gonzaga,Bulldogs,97
Texas Southern,Tigers,69
Northwestern,Wildcats,79
Loyola (MD),Greyhounds,75
Purdue,Boilermakers,105
SIU-Edwardsville,Cougars,74
UCLA,Bruins,63
Georgia Tech,Yellow Jackets,60
Seton Hall,Pirates,90
Fairleigh Dickinson,Knights,68
Baylor,Bears,107
Central Arkansas,Bears,66
Eastern Michigan,Eagles,92
Spring Arbor,Cougars,60
Stetson,Hatters,98
Webber Int.,Warriors,89
Middle Tennessee,Blue Raiders,104
Trevecca Nazarene,Trojans,52
Tulsa,Golden Hurricane,67
Lamar,Cardinals,74
New Hampshire,Wildcats,95
Wheelock College,Wildcats,39
Jackson State,Tigers,84
Millsaps,Majors,46
The Citadel,Bulldogs,109
Oglethorpe,Stormy Petrels,73
Penn State,Nittany Lions,86
Campbell,Fighting Camels,75
Central Michigan,Chippewas,108
Siena Heights,Saints,48
Eastern Washington,Eagles,82
Walla Walla University,Wolves,61
James Madison,Dukes,80
Bridgewater,Eagles,50
Virginia Tech,Hokies,111
Detroit Mercy,Titans,79
Sacred Heart,Pioneers,64
Holy Cross,Crusaders,69
North Texas,Mean Green,122
Eureka,Red Devils,65
Mississippi State,Bulldogs,96
Alabama State,Hornets,68
Alabama,Crimson Tide,82
Memphis,Tigers,70
Syracuse,Orange,77
Cornell,Big Red,45
NC State,Wolfpack,102
VMI,Keydets,67
Clemson,Tigers,85
Western Carolina,Catamounts,57
Indiana,Hoosiers,69
Indiana State,Sycamores,90
Ohio State,Buckeyes,95
Robert Morris,Colonials,64
Rutgers,Scarlet Knights,94
CCNY,Beavers,38
Wisconsin,Badgers,85
South Carolina State,Bulldogs,50
Stony Brook,Seawolves,61
Maryland,Terrapins,76
Virginia,Cavaliers,60
UNC Greensboro,Spartans,48
Tennessee,Volunteers,88
Presbyterian,Blue Hose,53
Wofford,Terriers,52
South Carolina,Gamecocks,73
Georgia,Bulldogs,79
Bryant,Bulldogs,54
Connecticut,Huskies,70
Colgate,Raiders,58
Stanford,Cardinal,78
Cal Poly,Mustangs,62
Butler,Bulldogs,82
Kennesaw State,Owls,64
St. John's,Red Storm,77
New Orleans,Privateers,61
Providence,Friars,84
Houston Baptist,Huskies,55
Furman,Paladins,101
Bob Jones,Bruins,48
Northern Kentucky,Norse,81
East Tennessee State,Buccaneers,63
Oakland,Golden Grizzlies,85
Fort Wayne,Mastodons,71
Winthrop,Eagles,66
Southern Illinois,Salukis,81
Davidson,Wildcats,110
Charleston Southern,Buccaneers,62
Dayton,Flyers,78
Ball State,Cardinals,77
Fordham,Rams,54
Miami (OH),RedHawks,55
George Mason,Patriots,67
Lafayette,Leopards,65
VCU,Rams,94
Grambling,Tigers,65
Richmond,Spiders,63
Delaware,Blue Hens,76
Albany,Great Danes,69
Iona,Gaels,67
Binghamton,Bearcats,76
Morgan State,Bears,59
Massachusetts,Minutemen,74
UMass Lowell,River Hawks,69
Drexel,Dragons,69
Bowling Green,Falcons,78
Georgia State,Panthers,90
Carver Bible College,Cougars,50
Charleston,Cougars,68
Siena,Saints,60
Hofstra,Pride,77
Army,Black Knights,74
Old Dominion,Monarchs,57
Towson,Tigers,54
Harvard,Crimson,73
MIT,Engineers,64
Liberty,Flames,87
Summit,Defenders,42
Radford,Highlanders,72
Georgia Southwestern,Hurricanes,63
Florida Intl,Golden Panthers,70
Florida Memorial,Lions,47
Boston College,Eagles,85
Maine,Black Bears,65
Wake Forest,Demon Deacons,83
Georgia Southern,Eagles,85
George Washington,Colonials,84
Howard,Bison,75
Rhode Island,Rams,84
UNC Asheville,Bulldogs,60
Coastal Carolina,Chanticleers,102
Piedmont International,Bruins,50
Southeast Missouri State,Redhawks,81
MO Baptist,Spartans,69
Boston University,Terriers,59
Northeastern,Huskies,65
Lipscomb,Bisons,98
Emory,Eagles,83
Louisiana Tech,Bulldogs,112
Texas-Tyler,Patriots,71
Charlotte,49ers,116
Methodist,Monarchs,76
Delaware State,Hornets,71
Cairn University,Highlanders,50
Illinois,Fighting Illini,102
Southern,Jaguars,55
Ole Miss,Rebels,94
Louisiana,Ragin' Cajuns,76
LSU,Tigers,99
Alcorn State,Braves,59
Arkansas,Razorbacks,95
Samford,Bulldogs,56
Auburn,Tigers,102
Norfolk State,Spartans,74
UCF,Knights,88
Mercer,Bears,79
Houston,Cougars,81
McNeese,Cowboys,53
South Florida,Bulls,60
Florida Atlantic,Owls,59
SMU,Mustangs,78
UMBC,Retrievers,67
Tulane,Green Wave,102
LIU Brooklyn,Blackbirds,96
Colorado,Buffaloes,66
Northern Colorado,Bears,51
Incarnate Word,Cardinals,87
Southwestern,Pirates,71
UT Rio Grande Valley,Vaqueros,106
Nicholls,Colonels,111
Oral Roberts,Golden Eagles,86
Avila,Eagles,60
Montana State,Bobcats,89
Omaha,Mavericks,80
Evansville,Purple Aces,77
