Location,Name,Score
Kansas,Jayhawks,92
Tennessee St,Tigers,56
-,-,-
Xavier,Musketeers,101
Morehead St,Eagles,49
-,-,-
Purdue,Boilermakers,105
SIU-Edwardsville,Cougars,74
-,-,-
Southeast Missouri State,Redhawks,81
MO Baptist,Spartans,69
-,-,-
Rice,Owls,72
Eastern Kentucky,Colonels,73
-,-,-
Jacksonville St,Gamecocks,100
Tennessee Wesleyan,Bulldogs,42
-,-,-
Murray St,Racers,118
Brescia,Bearcats,61
-,-,-
Marshall,Thundering Herd,102
Tenn-Martin,Skyhawks,91
-,-,-
Tennessee Tech,Golden Eagles,94
Midway,Eagles,56
-,-,-
Vanderbilt,Commodores,73
Austin Peay,Governors,54
-,-,-
Washington,Huskies,86
Belmont,Bruins,82
-,-,-
