Location,Name,Score
Arizona,Wildcats,101
Northern Arizona,Lumberjacks,67
USC,Trojans,84
CS Fullerton,Titans,42
UCLA,Bruins,63
Georgia Tech,Yellow Jackets,60
Stanford,Cardinal,78
Cal Poly,Mustangs,62
Colorado,Buffaloes,66
Northern Colorado,Bears,51
Washington,Huskies,86
Belmont,Bruins,82
Oregon State,Beavers,99
Southern Utah,Thunderbirds,82
Arizona State,Sun Devils,94
Idaho State,Bengals,74
Utah,Utes,83
Prairie View A&M,Panthers,62
California,Golden Bears,66
UC Riverside,Highlanders,74
Oregon,Ducks,70
Coppin State,Eagles,54
