Location,Name,Score
Baylor,Bears,107
Central Arkansas,Bears,66
-,-,-
Tulsa,Golden Hurricane,67
Lamar,Cardinals,74
-,-,-
St. John's,Red Storm,77
New Orleans,Privateers,61
-,-,-
Providence,Friars,84
Houston Baptist,Huskies,55
-,-,-
Houston,Cougars,81
McNeese,Cowboys,53
-,-,-
Incarnate Word,Cardinals,87
Southwestern,Pirates,71
-,-,-
UT Rio Grande Valley,Vaqueros,106
Nicholls,Colonels,111
-,-,-
Texas,Longhorns,105
Northwestern State,Demons,59
-,-,-
SE Louisiana,Lions,99
Centenary,Gentlemen,67
-,-,-
Abilene Christian,Wildcats,86
Randall University,Saints,68
-,-,-
Texas A&M-CC,Islanders,69
Our Lady of the Lake,Saints,68
-,-,-
